Timestamp,Duration,Reason,Location,Date,Hour,DayOfWeek
2025-08-15 00:00:00,2,Information Request,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,5,Lost Ticket,P1,2025-08-15,0,Friday
2025-08-15 00:00:00,8,Entry Problem,P1,2025-08-15,0,Friday
2025-08-15 00:00:00,6,Other,P4,2025-08-15,0,Friday
2025-08-15 00:00:00,8,Payment Issue,P4,2025-08-15,0,Friday
2025-08-15 00:00:00,6,Exit Barrier,P2,2025-08-15,0,Friday
2025-08-15 00:00:00,5,Technical Malfunction,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,1,Lost Ticket,P1,2025-08-15,0,Friday
2025-08-15 00:00:00,4,Entry Problem,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,7,Entry Problem,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,4,Lost Ticket,P1,2025-08-15,0,Friday
2025-08-15 00:00:00,4,Payment Issue,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,8,Other,P1,2025-08-15,0,Friday
2025-08-15 00:00:00,3,Technical Malfunction,P3,2025-08-15,0,Friday
2025-08-15 00:00:00,3,Payment Issue,P1,2025-08-15,0,Friday
2025-08-15 01:00:00,7,Payment Issue,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,8,Exit Barrier,P2,2025-08-15,1,Friday
2025-08-15 01:00:00,1,Information Request,P4,2025-08-15,1,Friday
2025-08-15 01:00:00,2,Information Request,P2,2025-08-15,1,Friday
2025-08-15 01:00:00,4,Information Request,P3,2025-08-15,1,Friday
2025-08-15 01:00:00,1,Information Request,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,4,Payment Issue,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,9,Exit Barrier,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,2,Payment Issue,P5,2025-08-15,1,Friday
2025-08-15 01:00:00,9,Technical Malfunction,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,7,Other,P1,2025-08-15,1,Friday
2025-08-15 01:00:00,9,Exit Barrier,P2,2025-08-15,1,Friday
2025-08-15 01:00:00,5,Other,P5,2025-08-15,1,Friday
2025-08-15 02:00:00,9,Exit Barrier,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,7,Payment Issue,P4,2025-08-15,2,Friday
2025-08-15 02:00:00,5,Information Request,P3,2025-08-15,2,Friday
2025-08-15 02:00:00,8,Entry Problem,P4,2025-08-15,2,Friday
2025-08-15 02:00:00,9,Exit Barrier,P2,2025-08-15,2,Friday
2025-08-15 02:00:00,9,Exit Barrier,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,1,Payment Issue,P4,2025-08-15,2,Friday
2025-08-15 02:00:00,3,Information Request,P5,2025-08-15,2,Friday
2025-08-15 02:00:00,5,Payment Issue,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,9,Information Request,P5,2025-08-15,2,Friday
2025-08-15 02:00:00,4,Information Request,P2,2025-08-15,2,Friday
2025-08-15 02:00:00,8,Lost Ticket,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,5,Information Request,P4,2025-08-15,2,Friday
2025-08-15 02:00:00,3,Lost Ticket,P5,2025-08-15,2,Friday
2025-08-15 02:00:00,6,Technical Malfunction,P2,2025-08-15,2,Friday
2025-08-15 02:00:00,7,Exit Barrier,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,8,Lost Ticket,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,2,Entry Problem,P4,2025-08-15,2,Friday
2025-08-15 02:00:00,2,Exit Barrier,P1,2025-08-15,2,Friday
2025-08-15 02:00:00,4,Lost Ticket,P1,2025-08-15,2,Friday
2025-08-15 03:00:00,4,Exit Barrier,P2,2025-08-15,3,Friday
2025-08-15 03:00:00,3,Other,P2,2025-08-15,3,Friday
2025-08-15 03:00:00,8,Payment Issue,P1,2025-08-15,3,Friday
2025-08-15 03:00:00,8,Lost Ticket,P3,2025-08-15,3,Friday
2025-08-15 03:00:00,9,Information Request,P2,2025-08-15,3,Friday
2025-08-15 03:00:00,7,Other,P3,2025-08-15,3,Friday
